2020-03-25 09:53:41.057  INFO 18408 --- [restartedMain] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8888
2020-03-25 09:53:43.245  INFO 18408 --- [restartedMain] c.c.c.ConfigServicePropertySourceLocator : Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2020-03-25 09:53:43.246  WARN 18408 --- [restartedMain] c.c.c.ConfigServicePropertySourceLocator : Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/albums-ws/default": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
2020-03-25 09:53:43.248  INFO 18408 --- [restartedMain] c.a.p.a.a.PhotoAppApiAlbumsApplication   : No active profile set, falling back to default profiles: default
2020-03-25 09:53:45.324  WARN 18408 --- [restartedMain] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-03-25 09:53:45.988  INFO 18408 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=14f2c84d-4279-34f4-b730-1deb2e858fae
2020-03-25 09:53:46.345  INFO 18408 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$a254bca4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-25 09:53:49.403  INFO 18408 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 0 (http)
2020-03-25 09:53:49.460  INFO 18408 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-03-25 09:53:49.462  INFO 18408 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.14]
2020-03-25 09:53:49.488  INFO 18408 --- [restartedMain] o.a.catalina.core.AprLifecycleListener   : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_221\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:/Program Files/Java/jre1.8.0_231/bin/server;C:/Program Files/Java/jre1.8.0_231/bin;C:/Program Files/Java/jre1.8.0_231/lib/amd64;C:\ProgramData\DockerDesktop\version-bin;C:\Program Files\Docker\Docker\Resources\bin;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\nodejs\;C:\Program Files\Git\cmd;C:\Program Files\PuTTY\;C:\Program Files\Cloud Foundry;C:\xampp\php;C:\ProgramData\ComposerSetup\bin;c:\dev\anypoint;C:\Program Files\Java\jdk-11.0.3\bin;C:\Users\Luba\AppData\Local\Microsoft\WindowsApps;C:\Users\Luba\AppData\Roaming\npm;C:\Users\Luba\AppData\Local\Programs\Microsoft VS Code\bin;C:\Users\Luba\AppData\Local\atom\bin;C:\Users\Luba\AppData\Roaming\Composer\vendor\bin;C:\Users\Luba\Desktop;;.]
2020-03-25 09:53:49.812  INFO 18408 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-03-25 09:53:49.813  INFO 18408 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 6552 ms
